keyframe,x,y,z
47988,-4.4379396,-15.073038,3.9276395
47989,-3.9093802,-15.185382,3.9537604
47990,-4.04062,-14.746221,4.08912
47991,-3.8475194,-14.971139,4.19378
47992,-3.7694793,-14.943661,3.90728
47993,-3.88118,-14.923197,3.8998005
47994,-4.13756,-15.272959,3.8858001
47995,-4.0068007,-15.151979,4.1782193
47996,-3.9331799,-15.336319,4.218879
47997,-4.0007596,-15.3353405,4.3980594
47998,-3.5023196,-15.369479,4.3408594
47999,-3.8068001,-15.558638,3.8357205
48000,-3.9813998,-15.67306,4.2528596
48001,-4.02298,-15.819278,4.4917393
48002,-3.9361596,-14.851222,4.04538
48003,-4.3629394,-15.1432,3.7146003
48004,-3.98452,-14.8639,3.5724196
48005,-3.7870998,-14.969558,3.93148
48006,-4.1025,-15.29746,4.21884
48007,-3.9910197,-15.27592,4.0082803
48008,-3.96586,-15.135578,4.0644193
48009,-4.1356406,-15.052102,4.2025204
48010,-4.4507594,-15.051639,4.2740197
48011,-4.0384192,-15.563398,4.65172
48012,-4.3386993,-14.980881,4.3805594
48013,-4.3037195,-14.684061,3.9349205
48014,-4.2566605,-15.260398,4.3810196
48015,-4.29562,-14.850159,4.3073196
48016,-4.0882187,-15.23708,4.24694
48017,-3.8626199,-15.276177,4.0233793
48018,-4.4041395,-14.822201,4.0065994
48019,-4.05364,-14.990819,4.590781
48020,-4.328061,-14.74358,4.2341604
48021,-4.1151004,-15.310597,4.5176387
48022,-4.48452,-14.948017,4.0308595
48023,-4.36068,-14.820559,3.8705196
48024,-4.31878,-14.542877,4.0730796
48025,-3.88576,-14.62796,3.68734
48026,-3.7344196,-15.182618,3.9663403
48027,-4.2187796,-14.955941,4.2850394
48028,-4.4015393,-15.289719,4.4531193
48029,-4.4187593,-14.950741,4.41682
48030,-3.9408998,-15.253058,4.6036406
48031,-4.0702395,-15.4785795,4.7826204
48032,-4.09958,-15.082138,4.3399405
48033,-3.8832803,-14.749379,4.22252
48034,-3.9046402,-14.96862,4.3235397
48035,-3.9678998,-15.09964,4.280861
48036,-4.2896585,-14.988863,3.9590607
48037,-4.18104,-15.231441,4.2789
48038,-4.29238,-14.94558,4.3760195
48039,-4.15916,-14.865358,4.02674
48040,-3.8871398,-15.278218,4.20062
48041,-4.01056,-15.371962,4.31742
48042,-4.25976,-14.91272,4.26988
48043,-4.24074,-15.301098,4.55444
48044,-4.29664,-15.094439,4.2245197
48045,-4.2390203,-14.66726,3.9912999
48046,-4.44926,-14.84808,4.1438007
48047,-4.2251005,-14.74508,4.023979
48048,-4.2999187,-14.981461,4.3407598
48049,-4.4502797,-15.02092,4.20816
48050,-4.1217203,-15.3152,4.2737803
